BLOCK_TIMESTAMP_HOUR,BLOCK_NUMBER_MIN,BLOCK_NUMBER_MAX,BLOCK_COUNT,TRANSACTION_COUNT,TRANSACTION_COUNT_SUCCESS,TRANSACTION_COUNT_FAILED,UNIQUE_SIGNERS_COUNT,TOTAL_FEES_NATIVE,TOTAL_FEES_USD,EZ_CORE_METRICS_HOURLY_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
2020-10-08 05:00:00.000,39964289,39974337,9670,297093,264716,32377,18,1490670000,"null",8df1d2269fc6d9107cb30297963a9ffb,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 20:00:00.000,40114098,40124246,9694,294296,264418,29878,24,1474525000,"null",83fc442b38564c8c71a0f1e062edf4de,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 19:00:00.000,40103883,40114097,9888,259880,235129,24751,15,1302820000,"null",bb2f77e1a4835aa66864e0da06eefb2b,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 15:00:00.000,40064046,40073807,9104,417499,372343,45156,12,2092880000,"null",6888e2641dc75c34ced7f27366e63510,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 02:00:00.000,39933461,39943712,9994,222178,202456,19722,66,1114085000,"null",7cbfc2adb7e6b5ed753505e3d5527cd4,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 01:00:00.000,39923256,39933460,9920,252558,227726,24832,25,1266120000,"null",9b919ad09a9c3bd1ff317ed1e71f9406,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 09:00:00.000,40004288,40014292,9529,338414,304014,34400,18,1697185000,"null",3105f244d11ff04bd9ca7737f3e49c6c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 17:00:00.000,40083613,40093766,9705,329682,294548,35134,32,1652510000,"null",aedf8373ffc4b1a11541f91f0fb74de5,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 21:00:00.000,40124247,40134368,9599,281724,253638,28086,18,1411365000,"null",1fa0c38b6f177daebfc4e94ceb09c5bb,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 13:00:00.000,40044598,40054319,9148,468421,418548,49873,26,2350290000,"null",800279032854ccc74705db59bf7dfcf0,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 08:00:00.000,39994261,40004279,9771,255138,226441,28697,28,1280570000,"null",c5acd8a2dd635b0b9cfab7d6d11258d3,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 10:00:00.000,40014293,40024377,9714,304553,274325,30228,37,1527345000,"null",cf1a8e30d7385d9bd0907fdbf58b3809,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 07:00:00.000,39984409,39994260,9394,352957,312785,40172,56,1771985000,"null",18acbb15c599469ce578170f970c0369,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 03:00:00.000,39943715,39954020,10039,221052,200372,20680,30,1108205000,"null",628f31e39c50d62a5caf45818d5fc91b,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 12:00:00.000,40034644,40044597,9435,332179,297311,34868,38,1666505000,"null",1048759ed5fa0a2cdb5c975854d6e13c,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 14:00:00.000,40054320,40064045,8954,455307,405032,50275,19,2284565000,"null",022cd0bdd91cb992d464a2989620722e,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 00:00:00.000,39913186,39923257,9568,285574,260412,25162,20,1432105000,"null",5f94d7d742f76b948a9d166abe39d0e9,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
2020-10-08 23:00:00.000,40144130,40153826,9002,430642,389631,41011,23,2167415000,"null",2d624ca69775086b0bb9daaf189839df,2024-07-21 01:04:42.070,2024-07-21 01:04:42.070
