BLOCK_TIMESTAMP,BLOCK_ID,TX_ID,INDEX,TX_FROM,TX_TO,AMOUNT,MINT,FACT_TRANSFERS_ID,INSERTED_TIMESTAMP,MODIFIED_TIMESTAMP
"null",35313366,2TxQ3cEw3cAZ4WAmS1h4dc1XDwdaof5sc8kVrv8sM8BwjLRXBFpmJPnjpEiZdqdv9UnL6EqTVxZio6fWTSQsV3aY,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000005275,So11111111111111111111111111111111111111112,a89be83c0b8074f7c30d125c644c1bc9,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35890462,2NKCwAMrfnU8GhfRYFXobyQaxh9suFvj6zCXHC6Tmtcd4nB7SsbvfoSNoc7mpRtagyLbnfkJpQ3NM9ohbAsPfHzK,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000009607,So11111111111111111111111111111111111111112,4f673d188dd20544a4c1c255f717bdff,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36637599,24jrfByso5TJ1eLyP3ptzEFuN4ZwwR9En2E8qdoCsECMCxNYEXHgXcKbicUMZEPbUdFVu3NrdPyB6SuRg82cBjeV,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000007055,So11111111111111111111111111111111111111112,c9b6c4cfde1aaf657f642636d806fdfc,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",34007088,2D8NUhcUvEYdeh7Eb4EG7Mu9R7MQMDP69GwurjKfEsfLE7b38LgbQAdWYxbJNsFaD5rpoLNKX7qWqwaaBNHu6pAK,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000008924,So11111111111111111111111111111111111111112,a7234b0b8d139122a6b8272838c05262,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33910286,5LAeTqZAgYeUTtApfSJWmjtZnScjhGsGPhcKozESa9vdsRo5Q9qvuSfmG8oReYEzGBJvCWLuwuT5sbm6f65UgUjx,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000006039,So11111111111111111111111111111111111111112,203935ba1310f2d95f571eb67200d7d9,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36430684,vyRAamSNfzxTEM1rSfMeGMFEE3KdYfEVEqLC1yNsMtSQCFKqfS47tqK861J7beywfgWpELyJcruX4aVPYJq784J,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002117,So11111111111111111111111111111111111111112,e4107d21ba48f0614e775205681fbf92,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35649786,3rQZW99GETwGpE79rceM59x2yKGRmjvqAVWW44TLoKw1PWXXbJbnzu2ZhP6v5o3WtRHqkCv4Hi8xdzBtqfPehCfE,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,5.54e-7,So11111111111111111111111111111111111111112,49960f4b65e3101d6189dea937bb37af,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35438042,4ZcpxDJxv8uyeQiJSHGaRA7tdmqKC5ZF3qtvXV9yFJ67wW6gXFiXA3csnG5jQnZq3bKVKf9E6Abqqmj3VVzXZGVK,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000003373,So11111111111111111111111111111111111111112,2a8e6d90ee1ed6938cfe95aeb56e6f0e,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36794121,2LyWj8hMuBmY6AgDqVmMfidvBrLcyQHBx8m4H5ynEjP33TnCPRBWRkBstH31XSHFCM39dUT5aKDeLuKLf83FUntN,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002252,So11111111111111111111111111111111111111112,b6de9e4c84ebf9a6e16df1872cc3d238,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",34362417,5PBoWH3MNdQn7JfFGg6kL4taqrjWnyvG3HN5i3ytS2nXrfAU6dwKxR7g2S3caiMY4RgS8pRzQjNhibsSfKUeVpnf,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000001233,So11111111111111111111111111111111111111112,97e96fe4d01d0c75fa9e216fad7ed551,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",36490316,2hB4U6U5De9VofZ4iy4PyFxjMTz4yTc2KKEupJnLLMiGbCoPcrKBnvRu3ZNebvjzdDSQvF1TyqE149vv6gKYWEdN,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000002415,So11111111111111111111111111111111111111112,7fadca3fd59c7916be55a64cddd6f2cf,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",35672610,4btnkTPFdEQpJ5R5pQ8xx5u8RPt4Zk26cg6TmuiUw9pLtcZkiqBiCYXYqdRxKoC3kVikEJFbJ5EBKAaHTBCv1snU,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000006797,So11111111111111111111111111111111111111112,c6f7dd53b4050a06ce1168fab12f049f,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
"null",33838770,3o4VnQgpHBCQoKoLQkVAL1AJHXhWR3tqxkNxtpct9fzAmiFt2K8jfx9TvGbZkJGa6bXYCE7JnufbJgVfPyp8ArgW,1,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,D5Qh6N6UXVTifvebzqPHdHCeuQXWvoTx6eSZ9TEas661,0.000001911,So11111111111111111111111111111111111111112,bc4bfeefee1f921680fcd5de66f97475,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000
